"Index" "Apple"
2015-01-02 105.158716
2015-01-05 102.196226
2015-01-06 102.205846
2015-01-07 103.638996
2015-01-08 107.621041
2015-01-09 107.736465
2015-01-12 105.081766
2015-01-13 106.014759
2015-01-14 105.610785
2015-01-15 102.744478
2015-01-16 101.946143
2015-01-20 104.571988
2015-01-21 105.370323
2015-01-22 108.111585
2015-01-23 108.669458
2015-01-26 108.784875
2015-01-27 104.975962
2015-01-28 110.910555
2015-01-29 114.363589
2015-01-30 112.689978
2015-02-02 114.103887
2015-02-03 114.123128
2015-02-04 114.998404
2015-02-05 115.819201
2015-02-06 114.8439
2015-02-09 115.606758
2015-02-10 117.827732
2015-02-11 120.589471
2015-02-12 122.115189
2015-02-13 122.71389
2015-02-17 123.438122
2015-02-18 124.297544
2015-02-19 124.036816
2015-02-20 125.050744
2015-02-23 128.430494
2015-02-24 127.629008
2015-02-25 124.365131
2015-02-26 125.939133
2015-02-27 124.046482
2015-03-02 124.654827
2015-03-03 124.915554
2015-03-04 124.12372
2015-03-05 122.066911
2015-03-06 122.250378
2015-03-09 122.771826
2015-03-10 120.232188
2015-03-11 118.040175
2015-03-12 120.174245
2015-03-13 119.343791
2015-03-16 120.657066
2015-03-17 122.675263
2015-03-18 124.056133
2015-03-19 123.119458
2015-03-20 121.574431
2015-03-23 122.839421
2015-03-24 122.33729
2015-03-25 119.141007
2015-03-26 119.971461
2015-03-27 119.015476
2015-03-30 122.028285
2015-03-31 120.154935
2015-04-01 119.981119
2015-04-02 121.014357
2015-04-06 122.97461
2015-04-07 121.680653
2015-04-08 121.284735
2015-04-09 122.211752
2015-04-10 122.7332
2015-04-13 122.491789
2015-04-14 121.96069
2015-04-15 122.424194
2015-04-16 121.835152
2015-04-17 120.463941
2015-04-20 123.216021
2015-04-21 122.549733
2015-04-22 124.200973
2015-04-23 125.214901
2015-04-24 125.803944
2015-04-27 128.092513
2015-04-28 126.074323
2015-04-29 124.22029
2015-04-30 120.850199
2015-05-01 124.519637
2015-05-04 124.278227
2015-05-05 121.477868
2015-05-06 120.71501
2015-05-07 121.461665
2015-05-08 123.750102
2015-05-11 122.489519
2015-05-12 122.053168
2015-05-13 122.188922
2015-05-14 125.039766
2015-05-15 124.865231
2015-05-18 126.24217
2015-05-19 126.125813
2015-05-20 126.116107
2015-05-21 127.405778
2015-05-22 128.5209
2015-05-26 125.689447
2015-05-27 128.036062
2015-05-28 127.783952
2015-05-29 126.329437
2015-06-01 126.581548
2015-06-02 126.019148
2015-06-03 126.174285
2015-06-04 125.437337
2015-06-05 124.74886
2015-06-08 123.924644
2015-06-09 123.556162
2015-06-10 124.971896
2015-06-11 124.690682
2015-06-12 123.313743
2015-06-15 123.071324
2015-06-16 123.730704
2015-06-17 123.439806
2015-06-18 124.002212
2015-06-19 122.761028
2015-06-22 123.740403
2015-06-23 123.177989
2015-06-24 124.225241
2015-06-25 123.633738
2015-06-26 122.906481
2015-06-29 120.753798
2015-06-30 121.626508
2015-07-01 122.761028
2015-07-02 122.605883
2015-07-06 122.179223
2015-07-07 121.878626
2015-07-08 118.853233
2015-07-09 116.429042
2015-07-10 119.541702
2015-07-13 121.849537
2015-07-14 121.80105
2015-07-15 122.974358
2015-07-16 124.613106
2015-07-17 125.689447
2015-07-20 128.065166
2015-07-21 126.785186
2015-07-22 121.422877
2015-07-23 121.364699
2015-07-24 120.724709
2015-07-27 119.047165
2015-07-28 119.638669
2015-07-29 119.260495
2015-07-30 118.659301
2015-07-31 117.621747
2015-08-03 114.848472
2015-08-04 111.163699
2015-08-05 111.900655
2015-08-06 112.144163
2015-08-07 112.524048
2015-08-10 116.615128
2015-08-11 110.546696
2015-08-12 112.251311
2015-08-13 112.163649
2015-08-14 112.952639
2015-08-17 114.121522
2015-08-18 113.478636
2015-08-19 112.02728
2015-08-20 109.728485
2015-08-21 103.017174
2015-08-24 100.445641
2015-08-25 101.049557
2015-08-26 106.845252
2015-08-27 109.991479
2015-08-28 110.351886
2015-08-31 109.835633
2015-09-01 104.926341
2015-09-02 109.426519
2015-09-03 107.507617
2015-09-04 106.436139
2015-09-08 109.397299
2015-09-09 107.293321
2015-09-10 109.650558
2015-09-11 111.248025
2015-09-14 112.319495
2015-09-15 113.26434
2015-09-16 113.390973
2015-09-17 110.965545
2015-09-18 110.507733
2015-09-21 112.22209
2015-09-22 110.459034
2015-09-23 111.355172
2015-09-24 112.017537
2015-09-25 111.735057
2015-09-28 109.523932
2015-09-29 106.231586
2015-09-30 107.439432
2015-10-01 106.738104
2015-10-02 107.517352
2015-10-05 107.90698
2015-10-06 108.423233
2015-10-07 107.90698
2015-10-08 106.660177
2015-10-09 109.212231
2015-10-12 108.705713
2015-10-13 108.890788
2015-10-14 107.351763
2015-10-15 108.958972
2015-10-16 108.160239
2015-10-19 108.832346
2015-10-20 110.819433
2015-10-21 110.809698
2015-10-22 112.50457
2015-10-23 115.991727
2015-10-26 112.290275
2015-10-27 111.579211
2015-10-28 116.176794
2015-10-29 117.404119
2015-10-30 116.400832
2015-11-02 118.037263
2015-11-03 119.391213
2015-11-04 118.835996
2015-11-05 118.288182
2015-11-06 118.425135
2015-11-09 117.945802
2015-11-10 114.228505
2015-11-11 113.582874
2015-11-12 113.201363
2015-11-13 109.894924
2015-11-16 111.69488
2015-11-17 111.215547
2015-11-18 114.737192
2015-11-19 116.19476
2015-11-20 116.703446
2015-11-23 115.187179
2015-11-24 116.292582
2015-11-25 115.461084
2015-11-27 115.245871
2015-11-30 115.725211
2015-12-01 114.786099
2015-12-02 113.749172
2015-12-03 112.692677
2015-12-04 116.439319
2015-12-07 115.705642
2015-12-08 115.656735
2015-12-09 113.103541
2015-12-10 113.641566
2015-12-11 110.716645
2015-12-14 110.031884
2015-12-15 108.08519
2015-12-16 108.916689
2015-12-17 106.608061
2015-12-18 103.722263
2015-12-21 104.993971
2015-12-22 104.896149
2015-12-23 106.246111
2015-12-24 105.678733
2015-12-28 104.495069
2015-12-29 106.373279
2015-12-30 104.984187
2015-12-31 102.969025
2016-01-04 103.057063
2016-01-05 100.474523
2016-01-06 98.508268
2016-01-07 94.350769
2016-01-08 94.849671
2016-01-11 96.3855
2016-01-12 97.784376
2016-01-13 95.270312
2016-01-14 97.35395
2016-01-15 95.015969
2016-01-19 94.556205
2016-01-20 94.683373
2016-01-21 94.20404
2016-01-22 99.212599
2016-01-25 97.275697
2016-01-26 97.813722
2016-01-27 91.386718
2016-01-28 92.042134
2016-01-29 95.221398
2016-02-01 94.331208
2016-02-02 92.423652
2016-02-03 94.252947
2016-02-04 95.010279
2016-02-05 92.472736
2016-02-08 93.446449
2016-02-09 93.426774
2016-02-10 92.718621
2016-02-11 92.158002
2016-02-12 92.44323
2016-02-16 95.049622
2016-02-17 96.505269
